Task No.,Task Title,Start Date,Due Date
1.1,Design prototype based on requirements,7/3/2023,7/14/2023
1.2,Procure parts for building the prototype,7/17/2023,8/11/2023
1.3,Assemble prototype,8/14/2023,8/18/2023
1.4,"Adjust parameters (feed and waste times, accumulator tank, sieve bed and product tank sizes, etc)",8/21/2023,8/22/2023
1.5,Mount equipment in a suitable enclosure to minimise overall size,8/23/2023,8/25/2023
1.6,Test prototype under different operating conditions,8/28/2023,8/29/2023
2.1,Identify an ambulance for testing,8/30/2023,9/5/2023
2.2,Design an evaluation plan including data to be collected,9/6/2023,9/8/2023
2.3,Orient the driver and agree on how and where the equipment will be installed in the vehicle,9/11/2023,9/11/2023
2.4,Install the equipment and ensure that it is operating as expected,9/12/2023,9/13/2023
2.5,Evaluate the unit over a period of X patients,9/14/2023,9/27/2023
3.1,Review the results of the evaluation,9/28/2023,9/29/2023
3.2,Modify the design to incoporate any required changes,10/2/2023,10/4/2023
3.3,Implement the changes on prototypes,10/5/2023,10/11/2023
3.4,Retest prototypes under different operating conditions,10/12/2023,10/25/2023
4.1,Order parts to assemble three complete version-2 prototypes,10/26/2023,11/22/2023
4.2,Assemble two additional prototypes,11/23/2023,11/29/2023
4.3,Test prototypes under different operating conditions,11/30/2023,12/6/2023
4.4,Identify two additional ambulances to be used for testing,12/7/2023,12/13/2023
4.5,Install all three prototypes in ambulances,12/14/2023,1/3/2024
4.6,Evaluate all three prototypes over a period of X patient transfers,1/4/2024,2/2/2024
4.7,Develop a final report in the evaliation,2/5/2024,2/16/2024
4.8,Publish the designs as open access,2/19/2024,2/21/2024
